2026-04-21 09:34:20,011 INFO Found credentials in shared credentials file: ~/.aws/credentials
2026-04-21 09:34:20,032 INFO Enviando ~2000 evt/s pro Kinesis por 1800s (30min)...
2026-04-21 09:34:20,033 INFO   Stream: fraud-detection-poc-transactions
2026-04-21 09:34:20,033 INFO   Threads: 4 (paralelo)
  20,309 eventos | 2181 evt/s | fraude: 2.5%
  40,581 eventos | 2164 evt/s | fraude: 2.3%
  60,846 eventos | 2170 evt/s | fraude: 2.3%
  81,119 eventos | 2169 evt/s | fraude: 2.3%
  101,378 eventos | 2169 evt/s | fraude: 2.2%
  121,681 eventos | 1946 evt/s | fraude: 2.2%
  141,917 eventos | 1975 evt/s | fraude: 2.2%
  162,155 eventos | 1837 evt/s | fraude: 2.1%
  182,381 eventos | 1999 evt/s | fraude: 2.1%
  202,673 eventos | 2015 evt/s | fraude: 2.1%
  222,929 eventos | 2026 evt/s | fraude: 2.1%
  243,202 eventos | 2033 evt/s | fraude: 2.1%
  263,439 eventos | 2044 evt/s | fraude: 2.1%
  283,664 eventos | 2054 evt/s | fraude: 2.1%
  303,958 eventos | 2061 evt/s | fraude: 2.1%
  324,127 eventos | 2066 evt/s | fraude: 2.1%
  344,393 eventos | 2064 evt/s | fraude: 2.1%
  364,675 eventos | 2072 evt/s | fraude: 2.1%
  384,936 eventos | 2078 evt/s | fraude: 2.1%
  405,180 eventos | 2083 evt/s | fraude: 2.1%
  425,456 eventos | 2087 evt/s | fraude: 2.1%
  445,697 eventos | 2091 evt/s | fraude: 2.1%
  465,989 eventos | 2096 evt/s | fraude: 2.1%
  486,275 eventos | 2038 evt/s | fraude: 2.1%
  506,528 eventos | 2098 evt/s | fraude: 2.1%
  526,819 eventos | 2101 evt/s | fraude: 2.1%
  547,108 eventos | 2103 evt/s | fraude: 2.1%
  567,378 eventos | 2107 evt/s | fraude: 2.1%
  587,627 eventos | 2109 evt/s | fraude: 2.1%
  607,915 eventos | 2113 evt/s | fraude: 2.1%
  628,153 eventos | 2115 evt/s | fraude: 2.1%
  648,423 eventos | 2114 evt/s | fraude: 2.1%
  668,629 eventos | 2115 evt/s | fraude: 2.1%
  688,829 eventos | 2116 evt/s | fraude: 2.1%
  709,073 eventos | 2117 evt/s | fraude: 2.1%
  729,357 eventos | 2119 evt/s | fraude: 2.1%
  749,690 eventos | 2121 evt/s | fraude: 2.1%
  769,942 eventos | 2122 evt/s | fraude: 2.1%
  790,245 eventos | 2124 evt/s | fraude: 2.1%
  810,514 eventos | 2123 evt/s | fraude: 2.1%
  830,743 eventos | 2125 evt/s | fraude: 2.1%
  851,012 eventos | 2125 evt/s | fraude: 2.1%
  871,308 eventos | 2126 evt/s | fraude: 2.1%
  891,569 eventos | 2126 evt/s | fraude: 2.1%
  911,841 eventos | 2128 evt/s | fraude: 2.1%
  932,116 eventos | 2130 evt/s | fraude: 2.1%
  952,361 eventos | 2098 evt/s | fraude: 2.1%
  972,635 eventos | 2130 evt/s | fraude: 2.1%
  992,855 eventos | 2131 evt/s | fraude: 2.1%
  1,013,146 eventos | 2132 evt/s | fraude: 2.1%
  1,033,414 eventos | 2132 evt/s | fraude: 2.1%
  1,053,701 eventos | 2137 evt/s | fraude: 2.1%
  1,073,913 eventos | 2138 evt/s | fraude: 2.1%
  1,094,137 eventos | 2135 evt/s | fraude: 2.1%
  1,114,404 eventos | 2141 evt/s | fraude: 2.1%
  1,134,666 eventos | 2140 evt/s | fraude: 2.1%
  1,154,955 eventos | 2141 evt/s | fraude: 2.1%
  1,175,191 eventos | 2141 evt/s | fraude: 2.1%
  1,195,475 eventos | 2141 evt/s | fraude: 2.1%
  1,215,709 eventos | 2141 evt/s | fraude: 2.1%
  1,235,984 eventos | 2116 evt/s | fraude: 2.1%
  1,256,235 eventos | 2140 evt/s | fraude: 2.1%
  1,276,513 eventos | 2141 evt/s | fraude: 2.1%
  1,296,795 eventos | 2143 evt/s | fraude: 2.1%
  1,317,040 eventos | 2144 evt/s | fraude: 2.1%
  1,337,318 eventos | 2145 evt/s | fraude: 2.1%
  1,357,545 eventos | 2146 evt/s | fraude: 2.1%
  1,377,847 eventos | 2145 evt/s | fraude: 2.1%
  1,398,073 eventos | 2145 evt/s | fraude: 2.1%
  1,418,341 eventos | 2144 evt/s | fraude: 2.1%
  1,438,597 eventos | 2144 evt/s | fraude: 2.1%
  1,458,887 eventos | 2144 evt/s | fraude: 2.1%
  1,479,146 eventos | 2144 evt/s | fraude: 2.1%
  1,499,419 eventos | 2145 evt/s | fraude: 2.1%
  1,519,664 eventos | 2146 evt/s | fraude: 2.1%
  1,539,885 eventos | 2145 evt/s | fraude: 2.1%
  1,560,129 eventos | 2149 evt/s | fraude: 2.1%
  1,580,414 eventos | 2149 evt/s | fraude: 2.1%
  1,600,649 eventos | 2149 evt/s | fraude: 2.1%
  1,620,928 eventos | 2149 evt/s | fraude: 2.1%
  1,641,256 eventos | 2150 evt/s | fraude: 2.1%
  1,661,549 eventos | 2150 evt/s | fraude: 2.1%
  1,681,822 eventos | 2149 evt/s | fraude: 2.1%
  1,702,106 eventos | 2150 evt/s | fraude: 2.1%
  1,722,318 eventos | 2150 evt/s | fraude: 2.1%
  1,742,611 eventos | 2150 evt/s | fraude: 2.1%
  1,762,810 eventos | 2150 evt/s | fraude: 2.1%
  1,783,093 eventos | 2150 evt/s | fraude: 2.1%
  1,803,363 eventos | 2151 evt/s | fraude: 2.1%
  1,823,650 eventos | 2151 evt/s | fraude: 2.1%
  1,843,905 eventos | 2150 evt/s | fraude: 2.1%
  1,864,197 eventos | 2150 evt/s | fraude: 2.1%
  1,884,475 eventos | 2152 evt/s | fraude: 2.1%
  1,904,719 eventos | 2152 evt/s | fraude: 2.1%
  1,924,947 eventos | 2155 evt/s | fraude: 2.1%
  1,945,204 eventos | 2154 evt/s | fraude: 2.1%
  1,965,453 eventos | 2154 evt/s | fraude: 2.1%
  1,985,703 eventos | 2155 evt/s | fraude: 2.1%
  2,005,984 eventos | 2155 evt/s | fraude: 2.1%
  2,026,275 eventos | 2157 evt/s | fraude: 2.1%
  2,046,539 eventos | 2143 evt/s | fraude: 2.1%
  2,066,785 eventos | 2144 evt/s | fraude: 2.1%
  2,087,028 eventos | 2144 evt/s | fraude: 2.1%
  2,107,295 eventos | 2144 evt/s | fraude: 2.1%
  2,127,546 eventos | 2144 evt/s | fraude: 2.1%
  2,147,780 eventos | 2144 evt/s | fraude: 2.1%
  2,168,041 eventos | 2145 evt/s | fraude: 2.1%
  2,188,349 eventos | 2145 evt/s | fraude: 2.1%
  2,208,645 eventos | 2145 evt/s | fraude: 2.1%
  2,228,906 eventos | 2146 evt/s | fraude: 2.1%
  2,249,150 eventos | 2146 evt/s | fraude: 2.1%
  2,269,431 eventos | 2145 evt/s | fraude: 2.1%
  2,289,708 eventos | 2145 evt/s | fraude: 2.1%
  2,309,943 eventos | 2145 evt/s | fraude: 2.1%
  2,330,268 eventos | 2145 evt/s | fraude: 2.1%
  2,350,537 eventos | 2146 evt/s | fraude: 2.1%
  2,370,813 eventos | 2146 evt/s | fraude: 2.1%
  2,391,089 eventos | 2147 evt/s | fraude: 2.1%
  2,411,332 eventos | 2147 evt/s | fraude: 2.1%
  2,431,629 eventos | 2147 evt/s | fraude: 2.1%
  2,451,951 eventos | 2148 evt/s | fraude: 2.1%
  2,472,200 eventos | 2136 evt/s | fraude: 2.1%
  2,492,450 eventos | 2136 evt/s | fraude: 2.1%
  2,512,765 eventos | 2137 evt/s | fraude: 2.1%
  2,533,009 eventos | 2139 evt/s | fraude: 2.1%
  2,553,274 eventos | 2127 evt/s | fraude: 2.1%
  2,573,534 eventos | 2139 evt/s | fraude: 2.1%
  2,593,769 eventos | 2140 evt/s | fraude: 2.1%
  2,613,959 eventos | 2140 evt/s | fraude: 2.1%
  2,634,248 eventos | 2141 evt/s | fraude: 2.1%
